## FlyBase gene genetic interactions report
## Generated: Sat May 29 01:03:13 2021
## Using datasource: dbi:Pg:dbname=fb_2021_03_reporting;host=flysql20;port=5432

##Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type	Publication_FBrf
elav	FBgn0260400	fne	FBgn0086675	suppressible	FBrf0229345
sc	FBgn0004170	ac	FBgn0000022	enhanceable	FBrf0190143
N	FBgn0004647	sca	FBgn0003326	suppressible	FBrf0202064
Ras85D	FBgn0003205	EY3-5	FBgn0026440	enhanceable	FBrf0125429
bw	FBgn0000241	jim	FBgn0027339	enhanceable	FBrf0211786
w|z|Taf9	FBgn0003996|FBgn0004050|FBgn0000617	su(Hw)	FBgn0003567	enhanceable	FBrf0108279
RhoGEF2	FBgn0023172	zip	FBgn0287873	suppressible	FBrf0221420
Su(var)3-3	FBgn0260397	Su(H)	FBgn0004837	suppressible	FBrf0212709
grim	FBgn0015946	Hsp60D	FBgn0032525	suppressible	FBrf0209646
Atg1	FBgn0260945	Atg13	FBgn0261108	suppressible	FBrf0208115
grh	FBgn0259211	Vang	FBgn0015838	enhanceable	FBrf0167844
Imp	FBgn0285926	mub	FBgn0262737	enhanceable	FBrf0205043
CG42709	FBgn0261674	H	FBgn0001169	suppressible	FBrf0128367
mei-41	FBgn0004367	rad50	FBgn0034728	enhanceable	FBrf0194855
jus	FBgn0039647	cac	FBgn0263111	suppressible	FBrf0230696
Raf::tor	FBgn0013724	14-3-3ε	FBgn0020238	suppressible	FBrf0086382
Idh3b	FBgn0038922	Wwox	FBgn0031972	suppressible	FBrf0212691
Ppt1	FBgn0030057	gbb	FBgn0024234	suppressible	FBrf0211567
stumps	FBgn0020299	htl::tor	FBgn0014854	suppressible	FBrf0141487
Bx|ap	FBgn0265598|FBgn0267978	shn	FBgn0003396	suppressible	FBrf0202749
wg	FBgn0284084	puc	FBgn0243512	enhanceable	FBrf0128573
ND-75	FBgn0017566	Sod2	FBgn0010213	suppressible	FBrf0217071
ct	FBgn0004198	mod(mdg4)	FBgn0002781	suppressible	FBrf0191177
w	FBgn0003996	Low|Wow	FBgn0011646|FBgn0014893	suppressible	FBrf0104408
dpp	FBgn0000490	sax	FBgn0003317	enhanceable	FBrf0209213
Raf	FBgn0003079	put	FBgn0003169	suppressible	FBrf0208264
Dp|E2f1	FBgn0011763|FBgn0011766	pjc-16	FBgn0028578	enhanceable	FBrf0111491
qvr	FBgn0260499	nAChRα3	FBgn0015519	suppressible	FBrf0224433
fz	FBgn0001085	Dl	FBgn0000463	enhanceable	FBrf0106469
Su(dx)	FBgn0003557	Ndfip	FBgn0052177	enhanceable	FBrf0214123
Ras85D	FBgn0003205	Plzf	FBgn0032401	enhanceable	FBrf0218378
pbl	FBgn0003041	kis	FBgn0266557	enhanceable	FBrf0199094
sty	FBgn0014388	ed	FBgn0000547	enhanceable	FBrf0134572
rpr	FBgn0011706	Diap1	FBgn0260635	enhanceable	FBrf0151953
dom	FBgn0020306	jigr1	FBgn0039350	enhanceable	FBrf0230159
E(z)	FBgn0000629	dom	FBgn0020306	enhanceable	FBrf0134570
Pten	FBgn0026379	Pi3K92E	FBgn0015279	suppressible	FBrf0123020
ey	FBgn0005558	brk	FBgn0024250	suppressible	FBrf0158852
rho	FBgn0004635	Rbsn-5	FBgn0261064	suppressible	FBrf0215049
EcR	FBgn0000546	hid	FBgn0003997	suppressible	FBrf0242125
grim	FBgn0015946	Dark	FBgn0263864	suppressible	FBrf0236959
Vhl	FBgn0041174	btl	FBgn0285896	suppressible	FBrf0215439
robo1	FBgn0005631	robo2	FBgn0002543	enhanceable	FBrf0190040
shot	FBgn0013733	Cdk2	FBgn0004107	suppressible	FBrf0242585
cry	FBgn0025680	gl	FBgn0004618	suppressible	FBrf0174852
lz	FBgn0002576	sv	FBgn0005561	enhanceable	FBrf0138356
drl	FBgn0015380	Wnt5	FBgn0010194	enhanceable	FBrf0201024
hb	FBgn0001180	dan	FBgn0039286	enhanceable	FBrf0220587
dally	FBgn0263930	wg	FBgn0284084	enhanceable	FBrf0110205
Dcp-1	FBgn0010501	hid	FBgn0003997	enhanceable	FBrf0127334
pbl	FBgn0003041	Rac1	FBgn0010333	suppressible	FBrf0206776
shot	FBgn0013733	koi	FBgn0265003	suppressible	FBrf0242585
Iswi	FBgn0011604	mof	FBgn0014340	enhanceable	FBrf0144854
r	FBgn0003189	su(Hw)	FBgn0003567	suppressible	FBrf0063385
smo	FBgn0003444	ptc	FBgn0003892	suppressible	FBrf0160613
Pc	FBgn0003042	corto	FBgn0010313	enhanceable	FBrf0100787
Awh	FBgn0013751	Chi	FBgn0013764	suppressible	FBrf0209594
Raf	FBgn0003079	rl	FBgn0003256	enhanceable	FBrf0226731
cv-c	FBgn0285955	Rac1|Rac2	FBgn0010333|FBgn0014011	enhanceable	FBrf0187455
pbl	FBgn0003041	Mob2	FBgn0259481	suppressible	FBrf0199094
hid	FBgn0003997	JMJD6	FBgn0038948	suppressible	FBrf0200497
Syx7	FBgn0267849	Tak1	FBgn0026323	suppressible	FBrf0228803
ninaE	FBgn0002940	Arr2|Gαq	FBgn0000121|FBgn0004435	suppressible	FBrf0174855
boi	FBgn0040388	smo	FBgn0003444	suppressible	FBrf0212398
rad50	FBgn0034728	aurA	FBgn0000147	enhanceable	FBrf0241545
pnr	FBgn0003117	CRMP	FBgn0023023	suppressible	FBrf0147055
Csk	FBgn0262081	Btk29A	FBgn0003502	suppressible	FBrf0179404
ph-p|y	FBgn0004861|FBgn0004034	Su(y)P31	FBgn0027781	suppressible	FBrf0109352
mxc	FBgn0260789	corto	FBgn0010313	enhanceable	FBrf0145129
smo	FBgn0003444	E(smoDN)M	FBgn0083251	enhanceable	FBrf0188527
Atg9	FBgn0034110	Patj	FBgn0067864	suppressible	FBrf0237308
cni	FBgn0000339	grk::cni	FBgn0086244	suppressible	FBrf0190275
spn-E	FBgn0003483	Ste	FBgn0003523	enhanceable	FBrf0138260
Z600	FBgn0004052	CycE	FBgn0010382	suppressible	FBrf0202415
InR	FBgn0283499	Pten	FBgn0026379	suppressible	FBrf0151278
pnt	FBgn0003118	ase	FBgn0000137	suppressible	FBrf0216951
spin	FBgn0086676	wg	FBgn0284084	suppressible	FBrf0213705
daw	FBgn0031461	put	FBgn0003169	enhanceable	FBrf0194818
dac	FBgn0005677	CycE	FBgn0010382	suppressible	FBrf0138373
Ret	FBgn0011829	Irk2	FBgn0039081	suppressible	FBrf0243742
POSH	FBgn0040294	Tak1	FBgn0026323	suppressible	FBrf0211992
dpp	FBgn0000490	spen	FBgn0016977	suppressible	FBrf0160742
egr	FBgn0033483	hid	FBgn0003997	suppressible	FBrf0211273
tara	FBgn0040071	Cdk1	FBgn0004106	suppressible	FBrf0228870
ph-p	FBgn0004861	trx	FBgn0003862	suppressible	FBrf0141543
Vps25	FBgn0022027	Stat92E	FBgn0016917	suppressible	FBrf0190223
gl	FBgn0004618	E(gl)2D	FBgn0016628	enhanceable	FBrf0087580
aop	FBgn0000097	edl	FBgn0023214	enhanceable	FBrf0157239
tna	FBgn0026160	skd	FBgn0003415	enhanceable	FBrf0155711
bw	FBgn0000241	Mod(Prat:bw)3-9	FBgn0067866	suppressible	FBrf0162143
Tsc1	FBgn0026317	E2f1	FBgn0011766	enhanceable	FBrf0211700
Dcp-1	FBgn0010501	Diap1	FBgn0260635	suppressible	FBrf0209948
Ret	FBgn0011829	park	FBgn0041100	suppressible	FBrf0224169
ds	FBgn0284247	Dlish	FBgn0034264	suppressible	FBrf0235872
rho-7	FBgn0033672	park	FBgn0041100	suppressible	FBrf0206306
E(Pc)	FBgn0000581	Tip60	FBgn0026080	enhanceable	FBrf0234777
lwr	FBgn0010602	dl	FBgn0260632	suppressible	FBrf0187386
ATP7	FBgn0030343	Ctr1A	FBgn0062413	suppressible	FBrf0210589
hid	FBgn0003997	sty	FBgn0014388	suppressible	FBrf0105197
fu	FBgn0001079	smo	FBgn0003444	suppressible	FBrf0202382
Ret	FBgn0011829	hh	FBgn0004644	suppressible	FBrf0190765
osk	FBgn0003015	aub	FBgn0000146	suppressible	FBrf0138362
abd-A	FBgn0000014	btl::Egfr	FBgn0022739	suppressible	FBrf0148967
Mmp2	FBgn0033438	Mmp1	FBgn0035049	enhanceable	FBrf0227173
VGlut	FBgn0031424	KaiR1D	FBgn0038837	enhanceable	FBrf0235867
Ubx	FBgn0003944	N	FBgn0004647	suppressible	FBrf0105823
btl	FBgn0285896	Raf::tor	FBgn0013724	suppressible	FBrf0105337
mam	FBgn0002643	CG14767	FBgn0040777	enhanceable	FBrf0202064
btl|stumps	FBgn0285896|FBgn0020299	Smg5	FBgn0019890	suppressible	FBrf0187664
w	FBgn0003996	Su(w<up>a4</up>)	FBgn0010094	suppressible	FBrf0056279
dpp|faf	FBgn0000490|FBgn0005632	Med	FBgn0011655	suppressible	FBrf0219593
Ubx	FBgn0003944	vn	FBgn0003984	enhanceable	FBrf0195051
pbl	FBgn0003041	Rho1	FBgn0014020	suppressible	FBrf0111464
sw	FBgn0003654	ctp	FBgn0011760	enhanceable	FBrf0188025
hook	FBgn0001202	dor	FBgn0000482	enhanceable	FBrf0129990
Dl	FBgn0000463	Psn	FBgn0284421	enhanceable	FBrf0111379
Ctr1A	FBgn0062413	Ctr1C	FBgn0062411	suppressible	FBrf0210824
egr	FBgn0033483	lncRNA:Hsrω	FBgn0001234	suppressible	FBrf0209343
ct	FBgn0004198	Topors	FBgn0267351	suppressible	FBrf0216632
Tl	FBgn0262473	Akt	FBgn0010379	suppressible	FBrf0243130
DCTN1-p150	FBgn0001108	sev	FBgn0003366	enhanceable	FBrf0202108
ash1|trx	FBgn0005386|FBgn0003862	Su(z)6	FBgn0003647	enhanceable	FBrf0129826
dlg1	FBgn0001624	Rel	FBgn0014018	enhanceable	FBrf0243114
Pisd	FBgn0026576	ninaE	FBgn0002940	suppressible	FBrf0211516
smo	FBgn0003444	apt	FBgn0015903	enhanceable	FBrf0236801
Pink1	FBgn0029891	Tg	FBgn0031975	enhanceable	FBrf0227806
scrib	FBgn0263289	l(3)cl-R3	FBgn0041112	suppressible	FBrf0167548
unc-5	FBgn0034013	beat-Ia|eve	FBgn0013433|FBgn0000606	enhanceable	FBrf0224474
CycB	FBgn0000405	Cdk1	FBgn0004106	suppressible	FBrf0155492
pim	FBgn0003087	fzy	FBgn0001086	enhanceable	FBrf0129940
tor	FBgn0003733	Su(tor)2-187-1	FBgn0014045	suppressible	FBrf0058535
Dl	FBgn0000463	E(Dl)9P39.8	FBgn0010021	enhanceable	FBrf0057610
pcx	FBgn0003048	Hsc70-3	FBgn0001218	suppressible	FBrf0217160
ebi	FBgn0263933	puc	FBgn0243512	enhanceable	FBrf0218464
DAAM	FBgn0025641	pk	FBgn0003090	enhanceable	FBrf0229019
scrib	FBgn0263289	Rab5	FBgn0014010	suppressible	FBrf0207551
sli	FBgn0264089	Abl|robo1	FBgn0000017|FBgn0005631	suppressible	FBrf0128391
Mms19	FBgn0037301	Cdk7|CycH|Mat1	FBgn0263237|FBgn0022936|FBgn0024956	suppressible	FBrf0237897
Snx16	FBgn0034265	tkv	FBgn0003716	enhanceable	FBrf0213353
Hipk	FBgn0035142	ci	FBgn0004859	enhanceable	FBrf0237780
N|E(spl)m8-HLH	FBgn0004647|FBgn0000591	sca	FBgn0003326	enhanceable	FBrf0108246
Trl	FBgn0013263	msl-2	FBgn0005616	enhanceable	FBrf0174708
Ctr1B	FBgn0062412	MtnB	FBgn0002869	suppressible	FBrf0194402
tkv	FBgn0003716	puc	FBgn0243512	enhanceable	FBrf0108559
faf	FBgn0005632	wnd	FBgn0036896	suppressible	FBrf0194919
Bx	FBgn0265598	l(3)mbn	FBgn0002440	enhanceable	FBrf0211594
park	FBgn0041100	Shmt	FBgn0029823	enhanceable	FBrf0235083
wap	FBgn0266848	mnb	FBgn0259168	suppressible	FBrf0222935
Sh	FBgn0003380	mle	FBgn0002774	suppressible	FBrf0191470
sds22	FBgn0028992	puc	FBgn0243512	suppressible	FBrf0214488
Zyx	FBgn0011642	cpa|cpb	FBgn0034577|FBgn0011570	suppressible	FBrf0227860
wun2|wun	FBgn0041087|FBgn0016078	srp	FBgn0003507	suppressible	FBrf0210764
SMC3	FBgn0015615	stan	FBgn0024836	suppressible	FBrf0218403
N	FBgn0004647	Cdk9|E(spl)mγ-HLH	FBgn0019949|FBgn0002735	suppressible	FBrf0235091
wg	FBgn0284084	pan	FBgn0085432	enhanceable	FBrf0104944
cry	FBgn0025680	Rh5|Rh6	FBgn0014019|FBgn0019940	enhanceable	FBrf0217408
Rab21	FBgn0039966	Sbf	FBgn0025802	suppressible	FBrf0218866
gbb	FBgn0024234	anchor	FBgn0036741	enhanceable	FBrf0238983
Dap160	FBgn0023388	wit	FBgn0024179	suppressible	FBrf0204925
N	FBgn0004647	Chi	FBgn0013764	enhanceable	FBrf0109032
TAF1B	FBgn0037792	Utx	FBgn0260749	enhanceable	FBrf0236101
trbl	FBgn0028978	H	FBgn0001169	enhanceable	FBrf0128367
grim	FBgn0015946	Imp	FBgn0285926	suppressible	FBrf0190751
Dl|twin	FBgn0000463|FBgn0011725	upd2|upd3	FBgn0030904|FBgn0053542	suppressible	FBrf0239832
asp	FBgn0000140	sqh	FBgn0003514	suppressible	FBrf0223188
spi	FBgn0005672	hid	FBgn0003997	suppressible	FBrf0144794
YME1L	FBgn0034792	Sod1	FBgn0003462	suppressible	FBrf0230561
numb	FBgn0002973	Su(H)	FBgn0004837	suppressible	FBrf0099728
rpr	FBgn0011706	Dronc	FBgn0026404	suppressible	FBrf0190910
Atg1	FBgn0260945	Tor	FBgn0021796	enhanceable	FBrf0180117
Ras85D	FBgn0003205	cic	FBgn0262582	suppressible	FBrf0230522
brat	FBgn0010300	Mfe2	FBgn0030731	suppressible	FBrf0236682
NX	FBgn0005325	H	FBgn0001169	suppressible	unattributed
Lsd-1	FBgn0039114	Diap1	FBgn0260635	suppressible	FBrf0232186
Rho1	FBgn0014020	Cdc42	FBgn0010341	suppressible	FBrf0208183
CycE	FBgn0010382	E(Pc)	FBgn0000581	enhanceable	FBrf0151282
arm	FBgn0000117	shg	FBgn0003391	suppressible	FBrf0102617
pbl	FBgn0003041	RapGAP1	FBgn0264895	enhanceable	FBrf0199094
rl	FBgn0003256	Jra	FBgn0001291	suppressible	FBrf0089778
vg	FBgn0003975	1577	FBgn0084765	enhanceable	FBrf0187637
Snr1	FBgn0011715	htt	FBgn0027655	enhanceable	FBrf0227101
Rala	FBgn0015286	Rlip	FBgn0026056	suppressible	FBrf0194568
mew	FBgn0004456	blo	FBgn0000198	enhanceable	FBrf0104793
Abd-B	FBgn0000015	pb	FBgn0051481	suppressible	FBrf0187678
Moe	FBgn0011661	conu	FBgn0039994	suppressible	FBrf0223340
Zip42C.1|ZnT63C	FBgn0033096|FBgn0035432	ZnT35C	FBgn0028516	suppressible	FBrf0220942
zfh1	FBgn0004606	eve	FBgn0000606	enhanceable	FBrf0224474
h	FBgn0001168	Topors	FBgn0267351	suppressible	FBrf0174781
net|px	FBgn0002931|FBgn0003175	brm|osa	FBgn0000212|FBgn0261885	suppressible	FBrf0208056
fzr	FBgn0262699	wnd	FBgn0036896	suppressible	FBrf0237532
scrib	FBgn0263289	DCAF12	FBgn0037980	suppressible	FBrf0232014
ds	FBgn0284247	fj	FBgn0000658	enhanceable	FBrf0174590
ap	FBgn0267978	sr	FBgn0003499	enhanceable	FBrf0131298
Scr	FBgn0003339	hth	FBgn0001235	suppressible	FBrf0111139
Egfr	FBgn0003731	ed	FBgn0000547	enhanceable	FBrf0160973
gogo	FBgn0052227	hts	FBgn0263391	enhanceable	FBrf0212583
BRWD3	FBgn0011785	Hira	FBgn0022786	suppressible	FBrf0227972
hec	FBgn0030437	fru	FBgn0004652	enhanceable	FBrf0216834
Ras85D	FBgn0003205	SM3-8	FBgn0041615	enhanceable	FBrf0127348
bw	FBgn0000241	Pur-α	FBgn0022361	enhanceable	FBrf0211786
mam	FBgn0002643	sgg	FBgn0003371	enhanceable	FBrf0111904
His1:CG31617	FBgn0051617	bsk	FBgn0000229	suppressible	FBrf0236398
dnc	FBgn0000479	rut	FBgn0003301	suppressible	FBrf0056580
Myt1	FBgn0040298	CycB	FBgn0000405	suppressible	FBrf0247277
Kr	FBgn0001325	Vha55	FBgn0005671	suppressible	FBrf0129693
osa	FBgn0261885	htt	FBgn0027655	suppressible	FBrf0227101
N	FBgn0004647	Su(H)	FBgn0004837	suppressible	FBrf0213150
spir	FBgn0003475	capu	FBgn0000256	suppressible	FBrf0201859
mei-41	FBgn0004367	bsk	FBgn0000229	suppressible	FBrf0227621
dbo	FBgn0040230	GluRIIA	FBgn0004620	suppressible	FBrf0233779
comm	FBgn0010105	Sdc	FBgn0010415	suppressible	FBrf0216287
BEAF-32	FBgn0015602	yki	FBgn0034970	suppressible	FBrf0232800
AdamTS-B	FBgn0029791	Ras85D	FBgn0003205	suppressible	FBrf0219175
Dg	FBgn0034072	Dl	FBgn0000463	enhanceable	FBrf0205440
spen	FBgn0016977	Ras85D	FBgn0003205	suppressible	FBrf0129761
tll	FBgn0003720	pros	FBgn0004595	suppressible	FBrf0207181
Raf::tor	FBgn0013724	ed	FBgn0000547	enhanceable	FBrf0134572
upd1|Ras85D	FBgn0004956|FBgn0003205	upd2	FBgn0030904	enhanceable	FBrf0213139
Acsl	FBgn0263120	Dad	FBgn0020493	enhanceable	FBrf0224180
bw	FBgn0000241	sle	FBgn0037810	suppressible	FBrf0211786
apb	FBgn0000101	ap	FBgn0267978	enhanceable	FBrf0063683
pbl	FBgn0003041	CG10222	FBgn0036356	suppressible	FBrf0199094
peb	FBgn0003053	bsk	FBgn0000229	suppressible	FBrf0137201
pbl	FBgn0003041	ovo	FBgn0003028	suppressible	FBrf0199094
Sec71	FBgn0028538	Arf79F	FBgn0010348	suppressible	FBrf0235566
LTV1	FBgn0027525	Myc	FBgn0262656	suppressible	FBrf0228511
nos	FBgn0002962	E(z)	FBgn0000629	suppressible	FBrf0074146
Kr	FBgn0001325	l(2)04548	FBgn0024883	enhanceable	FBrf0129693
net	FBgn0002931	CycG	FBgn0039858	enhanceable	FBrf0231264
Lar	FBgn0000464	Rac1	FBgn0010333	enhanceable	FBrf0100716
PRL-1	FBgn0024734	uex	FBgn0262124	suppressible	FBrf0243653
ct	FBgn0004198	shn	FBgn0003396	suppressible	FBrf0187644
danr	FBgn0039283	CtBP	FBgn0020496	suppressible	FBrf0211770
grim	FBgn0015946	Dronc	FBgn0026404	suppressible	FBrf0129853
per	FBgn0003068	tim	FBgn0014396	enhanceable	FBrf0128628
WASp	FBgn0024273	Whamy	FBgn0037750	enhanceable	FBrf0230860
ninaE	FBgn0002940	fred	FBgn0051774	enhanceable	FBrf0231075
Ppt1	FBgn0030057	UbcE2H	FBgn0029996	suppressible	FBrf0201672
hop	FBgn0004864	Ptp61F	FBgn0267487	suppressible	FBrf0188561
pdm2	FBgn0004394	numb	FBgn0002973	suppressible	FBrf0174553
Src64B	FBgn0262733	drk	FBgn0004638	suppressible	FBrf0091036
Dl|lola|psq	FBgn0000463|FBgn0283521|FBgn0263102	mir-8	FBgn0262432	suppressible	FBrf0213063
Traf-like	FBgn0030748	Zw	FBgn0004057	suppressible	FBrf0238353
phyl	FBgn0013725	tal	FBgn0087003	suppressible	FBrf0214307
l(2)gl|yki	FBgn0002121|FBgn0034970	Pfk	FBgn0003071	suppressible	FBrf0228407
dco	FBgn0002413	Zyx	FBgn0011642	suppressible	FBrf0213900
wg	FBgn0284084	slp2	FBgn0004567	suppressible	FBrf0122964
hts	FBgn0263391	gogo	FBgn0052227	suppressible	FBrf0212583
brat	FBgn0010300	bsk	FBgn0000229	enhanceable	FBrf0236682
Rac1	FBgn0010333	zip	FBgn0287873	suppressible	FBrf0155719
vvl	FBgn0086680	Mad	FBgn0011648	enhanceable	FBrf0101484
Ank2	FBgn0261788	wgn	FBgn0030941	suppressible	FBrf0216904
ADD1	FBgn0026573	XNP	FBgn0039338	enhanceable	FBrf0226854
raw	FBgn0003209	tkv	FBgn0003716	suppressible	FBrf0217104
ap	FBgn0267978	H	FBgn0001169	suppressible	FBrf0128529
Ssdp	FBgn0011481	Fer2LCH	FBgn0015221	enhanceable	FBrf0211594
tau	FBgn0266579	futsch	FBgn0259108	enhanceable	FBrf0226550
Ras85D	FBgn0003205	cnk	FBgn0286070	suppressible	FBrf0131405
vg	FBgn0003975	wg	FBgn0284084	suppressible	FBrf0102729
cact	FBgn0000250	cactin	FBgn0031114	enhanceable	FBrf0128552
Klp10A	FBgn0030268	Patronin	FBgn0263197	suppressible	FBrf0241937
AspRS	FBgn0002069	E2f1	FBgn0011766	suppressible	FBrf0108515
pbl	FBgn0003041	mir-313	FBgn0262441	enhanceable	FBrf0199094
Ras85D	FBgn0003205	mam	FBgn0002643	suppressible	FBrf0087493
dpp	FBgn0000490	B	FBgn0000154	enhanceable	FBrf0173071
Fmr1	FBgn0028734	Top3β	FBgn0026015	enhanceable	FBrf0223174
spi	FBgn0005672	Krn	FBgn0052179	enhanceable	FBrf0226552
kibra	FBgn0262127	ex	FBgn0004583	suppressible	FBrf0211094
eys|prom	FBgn0031414|FBgn0259210	Mbs	FBgn0005536	enhanceable	FBrf0226275
Npl4	FBgn0039348	TBPH	FBgn0025790	enhanceable	FBrf0237101
lncRNA:roX1	FBgn0019661	AGO2	FBgn0087035	enhanceable	FBrf0218921
peb	FBgn0003053	InR	FBgn0283499	suppressible	FBrf0111406
pbl	FBgn0003041	Src64B	FBgn0262733	suppressible	FBrf0199094
Gαq	FBgn0004435	stac	FBgn0266719	suppressible	FBrf0229994
Pc	FBgn0003042	Abd-B	FBgn0000015	suppressible	FBrf0187379
ato	FBgn0010433	hh	FBgn0004644	suppressible	FBrf0127389
Pink1	FBgn0029891	Sin1	FBgn0033935	suppressible	FBrf0220987
seq	FBgn0028991	sv	FBgn0005561	suppressible	FBrf0208172
Slik	FBgn0035001	Raf	FBgn0003079	suppressible	FBrf0167985
His1:CG31617	FBgn0051617	lok	FBgn0019686	suppressible	FBrf0236398
Pink1	FBgn0029891	park	FBgn0041100	enhanceable	FBrf0228603
Dl	FBgn0000463	hop	FBgn0004864	suppressible	FBrf0187397
Ge-1	FBgn0283682	btz	FBgn0045862	enhanceable	FBrf0213914
sm	FBgn0003435	TBPH	FBgn0025790	enhanceable	FBrf0236460
hpo	FBgn0261456	sav	FBgn0053193	enhanceable	FBrf0161987
smo	FBgn0003444	E(smoDN)198	FBgn0083294	enhanceable	FBrf0188528
Fak	FBgn0020440	dnc	FBgn0000479	suppressible	FBrf0220000
dpn	FBgn0010109	pros	FBgn0004595	suppressible	FBrf0219687
Sxl	FBgn0264270	Su(Sxl<up>fs</up>)X2	FBgn0029119	suppressible	FBrf0111808
TBPH	FBgn0025790	Map205	FBgn0002645	suppressible	FBrf0220703
Amph	FBgn0027356	Fas2	FBgn0000635	enhanceable	FBrf0167801
bsk	FBgn0000229	puc	FBgn0243512	suppressible	FBrf0167481
H	FBgn0001169	B	FBgn0000154	enhanceable	FBrf0190751
csw::Src64B	FBgn0016791	mask	FBgn0043884	suppressible	FBrf0141508
obk	FBgn0024208	ft	FBgn0001075	suppressible	FBrf0178980
Socs44A	FBgn0033266	hop	FBgn0004864	enhanceable	FBrf0179958
aurA	FBgn0000147	zip	FBgn0287873	suppressible	FBrf0221895
Marcal1	FBgn0031655	ash1	FBgn0005386	suppressible	FBrf0234417
Nsf2	FBgn0266464	Gdi	FBgn0004868	suppressible	FBrf0187645
Abi	FBgn0020510	wit	FBgn0024179	suppressible	FBrf0242076
PlexB	FBgn0025740	Sema2a	FBgn0011260	enhanceable	FBrf0193827
rpr	FBgn0011706	Diap1	FBgn0260635	enhanceable	FBrf0125392
Syx7	FBgn0267849	sd	FBgn0003345	suppressible	FBrf0234054
sli	FBgn0264089	Abl::Hsap\ABL1::Hsap\BCR	FBgn0026609	enhanceable	FBrf0162201
Sxl	FBgn0264270	snf	FBgn0003449	enhanceable	FBrf0122991
Fs(2)Ket	FBgn0262743	Pen	FBgn0287720	enhanceable	FBrf0217601
elfless	FBgn0032660	Dronc	FBgn0026404	suppressible	FBrf0207312
ds	FBgn0284247	dsh	FBgn0000499	enhanceable	FBrf0179415
btl::Egfr	FBgn0022739	gro	FBgn0001139	suppressible	FBrf0234236
B	FBgn0000154	su(Bar)	FBgn0003547	suppressible	FBrf0063890
Atg1	FBgn0260945	Dronc	FBgn0026404	enhanceable	FBrf0223015
rho	FBgn0004635	vn	FBgn0003984	enhanceable	FBrf0174566
Tak1	FBgn0026323	lncRNA:Hsrω	FBgn0001234	suppressible	FBrf0209343
Pten	FBgn0026379	trbl	FBgn0028978	suppressible	FBrf0226539
mam	FBgn0002643	Mrp4	FBgn0263316	suppressible	FBrf0202064
cv-c	FBgn0285955	cv-c::Hsap\DLC1	FBgn0286822	suppressible	FBrf0238382
skl	FBgn0036786	grim	FBgn0015946	enhanceable	FBrf0144773
B	FBgn0000154	ap::Chi	FBgn0029096	suppressible	FBrf0179395
Sin3A	FBgn0022764	Diap1	FBgn0260635	enhanceable	FBrf0221983
dom	FBgn0020306	Mi-2	FBgn0262519	enhanceable	FBrf0230159
cindr	FBgn0027598	ArfGAP3	FBgn0037182	suppressible	FBrf0216708
mad2	FBgn0035640	Tl	FBgn0262473	suppressible	FBrf0230345
Ras85D	FBgn0003205	santa-maria	FBgn0025697	suppressible	FBrf0224709
norpA	FBgn0262738	Cys	FBgn0004629	suppressible	FBrf0218298
comm	FBgn0010105	sli	FBgn0264089	enhanceable	FBrf0202065
Gfrl	FBgn0262869	Fas2	FBgn0000635	enhanceable	FBrf0220419
Rab32	FBgn0002567	w	FBgn0003996	enhanceable	FBrf0147069
E(z)	FBgn0000629	Mi-2	FBgn0262519	suppressible	FBrf0141551
gl	FBgn0004618	E(gl)2H	FBgn0016632	enhanceable	FBrf0087580
tor	FBgn0003733	rl	FBgn0003256	suppressible	FBrf0068431
lok	FBgn0019686	E(spl)m7-HLH	FBgn0002633	suppressible	FBrf0207160
p53	FBgn0039044	wts	FBgn0011739	suppressible	FBrf0192785
yki	FBgn0034970	hth	FBgn0001235	suppressible	FBrf0216584
aurA	FBgn0000147	tefu	FBgn0045035	suppressible	FBrf0241545
upd1	FBgn0004956	crb	FBgn0259685	suppressible	FBrf0167623
upd1	FBgn0004956	Stat92E	FBgn0016917	suppressible	FBrf0179404
peb	FBgn0003053	Jra	FBgn0001291	suppressible	FBrf0180294
ro	FBgn0003267	Su(ro<up>DOM</up>)1480	FBgn0043559	suppressible	FBrf0131272
Cisd2	FBgn0062442	Drp1	FBgn0026479	suppressible	FBrf0245745
Fer1HCH	FBgn0015222	Tsf1	FBgn0022355	suppressible	FBrf0241195
wit	FBgn0024179	trio	FBgn0024277	suppressible	FBrf0210920
slpr	FBgn0030018	Tak1	FBgn0026323	enhanceable	FBrf0193269
Ras85D|sev	FBgn0003205|FBgn0003366	osa	FBgn0261885	suppressible	FBrf0105879
Apc2	FBgn0026598	Apc	FBgn0015589	enhanceable	FBrf0146980
Tak1	FBgn0026323	msn	FBgn0010909	suppressible	FBrf0135880
Dcp-1	FBgn0010501	Eip55E	FBgn0000566	suppressible	FBrf0209948
Syx17	FBgn0035540	Dsor1	FBgn0010269	suppressible	FBrf0242427
Atx-1	FBgn0029907	sens	FBgn0002573	suppressible	FBrf0187241
14-3-3ζ	FBgn0004907	hemo	FBgn0262823	suppressible	FBrf0231378
Atg1	FBgn0260945	Tor	FBgn0021796	suppressible	FBrf0229722
trn	FBgn0010452	caps::trn	FBgn0086257	suppressible	FBrf0193895
Apc2	FBgn0026598	dia	FBgn0011202	enhanceable	FBrf0207596
