## FlyBase gene genetic interactions report
## Generated: Sat May 29 01:03:13 2021
## Using datasource: dbi:Pg:dbname=fb_2021_03_reporting;host=flysql20;port=5432

##Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type	Publication_FBrf
hid	FBgn0003997	Dronc	FBgn0026404	suppressible	FBrf0236286
Egfr	FBgn0003731	spi	FBgn0005672	enhanceable	FBrf0190765
H	FBgn0001169	Su(H)	FBgn0004837	enhanceable	FBrf0241550
CkIIα	FBgn0264492	orb	FBgn0004882	enhanceable	FBrf0216252
plum	FBgn0039431	babo	FBgn0011300	suppressible	FBrf0222771
CycE	FBgn0010382	scrib	FBgn0263289	suppressible	FBrf0180291
mir-276a	FBgn0266076	tim	FBgn0014396	suppressible	FBrf0232489
Pc	FBgn0003042	Scm	FBgn0003334	enhanceable	FBrf0104734
Egfr	FBgn0003731	S	FBgn0003310	suppressible	FBrf0102731
Ras85D	FBgn0003205	SM2-1	FBgn0041619	suppressible	FBrf0127348
snRNA:U12	FBgn0041721	Zmynd10	FBgn0266709	suppressible	FBrf0247174
Sulf1	FBgn0040271	Stat92E	FBgn0016917	suppressible	FBrf0234489
dlg1	FBgn0001624	par-1	FBgn0260934	suppressible	FBrf0192396
mys	FBgn0004657	Fas2	FBgn0000635	suppressible	FBrf0151260
spict	FBgn0032451	gbb	FBgn0024234	suppressible	FBrf0194450
rdgA	FBgn0261549	trp|trpl	FBgn0003861|FBgn0005614	suppressible	FBrf0127286
upd1	FBgn0004956	kto	FBgn0001324	suppressible	FBrf0167623
Ret	FBgn0011829	SCAR	FBgn0041781	suppressible	FBrf0243742
Ras85D	FBgn0003205	Vps15	FBgn0260935	enhanceable	FBrf0237370
Fak	FBgn0020440	mys	FBgn0004657	enhanceable	FBrf0193558
dac	FBgn0005677	Myc	FBgn0262656	enhanceable	FBrf0138373
Myc	FBgn0262656	Rab5	FBgn0014010	suppressible	FBrf0174445
αTub67C	FBgn0087040	ncd	FBgn0002924	enhanceable	FBrf0092442
TBPH	FBgn0025790	glo	FBgn0259139	suppressible	FBrf0236460
Dfd	FBgn0000439	tsh	FBgn0003866	enhanceable	FBrf0179413
rl	FBgn0003256	dj-1β	FBgn0039802	enhanceable	FBrf0210541
y	FBgn0004034	e(y)6	FBgn0000622	enhanceable	FBrf0050555
Zip42C.1|ZnT63C	FBgn0033096|FBgn0035432	ZnT77C	FBgn0037000	suppressible	FBrf0220942
Src42A	FBgn0264959	shg	FBgn0003391	suppressible	FBrf0203115
Rac1	FBgn0010333	Eip78C	FBgn0004865	enhanceable	FBrf0187664
Arr2	FBgn0000121	norpA	FBgn0262738	suppressible	FBrf0131242
ena	FBgn0000578	robo1	FBgn0005631	enhanceable	FBrf0128391
ZnT86D	FBgn0037875	Zip99C	FBgn0039714	suppressible	FBrf0227521
ftz	FBgn0001077	E(ftz)3150	FBgn0082682	enhanceable	FBrf0180288
prd	FBgn0003145	gsb::prd	FBgn0043897	suppressible	FBrf0132299
Vap33	FBgn0029687	TBPH	FBgn0025790	suppressible	FBrf0226712
sca	FBgn0003326	Mad	FBgn0011648	enhanceable	FBrf0089199
Zip71B	FBgn0036461	Zip48C	FBgn0033665	suppressible	FBrf0227521
Chi	FBgn0013764	Bx	FBgn0265598	suppressible	FBrf0205286
GlcAT-P	FBgn0036144	Tb	FBgn0243586	suppressible	FBrf0216828
w	FBgn0003996	east	FBgn0261954	suppressible	FBrf0210264
hiw	FBgn0030600	p38a	FBgn0015765	suppressible	FBrf0222265
tkv	FBgn0003716	Egfr	FBgn0003731	suppressible	FBrf0208264
foxo	FBgn0038197	path	FBgn0036007	enhanceable	FBrf0187461
mam	FBgn0002643	GPHR	FBgn0033995	suppressible	FBrf0202064
N	FBgn0004647	dx	FBgn0000524	suppressible	FBrf0141440
ro	FBgn0003267	osa	FBgn0261885	suppressible	FBrf0131272
Mmp1	FBgn0035049	Sema1a	FBgn0011259	suppressible	FBrf0202174
Rbf	FBgn0015799	sqd	FBgn0263396	enhanceable	FBrf0207978
Sara|Sdc	FBgn0026369|FBgn0010415	Lar	FBgn0000464	enhanceable	FBrf0191320
Rtnl1	FBgn0053113	ReepA|ReepB	FBgn0261564|FBgn0033906	enhanceable	FBrf0236545
faf	FBgn0005632	aop	FBgn0000097	enhanceable	FBrf0099843
csw	FBgn0000382	hop	FBgn0004864	enhanceable	FBrf0190828
Raf	FBgn0003079	mts	FBgn0004177	enhanceable	FBrf0086675
Ubx	FBgn0003944	Egfr	FBgn0003731	enhanceable	FBrf0195051
zip	FBgn0287873	ck	FBgn0000317	suppressible	FBrf0211576
sc|sisA	FBgn0004170|FBgn0003411	msl-3	FBgn0002775	enhanceable	FBrf0211448
dx	FBgn0000524	krz	FBgn0040206	enhanceable	FBrf0191265
Ras85D	FBgn0003205	rl	FBgn0003256	suppressible	FBrf0135730
Cdc16	FBgn0025781	Nek2	FBgn0029970	suppressible	FBrf0234480
Gyc76C	FBgn0266136	cv-2|cv|sog	FBgn0000395|FBgn0000394|FBgn0003463	suppressible	FBrf0229825
Psc	FBgn0005624	psq	FBgn0263102	enhanceable	FBrf0155950
sens	FBgn0002573	Caf1-55	FBgn0263979	suppressible	FBrf0213580
aos	FBgn0004569	cln	FBgn0015922	suppressible	FBrf0127348
ct	FBgn0004198	osa	FBgn0261885	suppressible	FBrf0187644
rho-7	FBgn0033672	HtrA2	FBgn0038233	enhanceable	FBrf0206306
hppy	FBgn0263395	Tor	FBgn0021796	enhanceable	FBrf0212911
bw	FBgn0000241	Hpr1	FBgn0037382	suppressible	FBrf0211786
sd	FBgn0003345	vg	FBgn0003975	enhanceable	FBrf0105294
